"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"17";"131_B";175;0,01;0,05;"5e-04";"0.0093 (0.0219)";"0.025 (0.0405)";"0.1865 (0.2111)";"0.1354 (0.1674)"
"18";"131_B";200;0,01;0,05;"5e-04";"0.0066 (0.0157)";"0.0315 (0.0515)";"0.1835 (0.1868)";"0.1168 (0.1733)"
"19";"131_C1";1;0,01;0,05;"5e-04";"0.0169 (0.0098)";"0.0163 (0.0075)";"0.0145 (0.0057)";"0.0189 (0.0108)"
"20";"131_C1";25;0,01;0,05;"5e-04";"0.1372 (0.0489)";"0.1651 (0.0631)";"0.2252 (0.0849)";"0.3978 (0.1099)"
"21";"131_C1";50;0,01;0,05;"5e-04";"0.1755 (0.0788)";"0.2545 (0.0712)";"0.4629 (0.1084)";"0.7468 (0.0762)"
"22";"131_C1";75;0,01;0,05;"5e-04";"0.1975 (0.0979)";"0.3673 (0.105)";"0.6495 (0.0878)";"0.869 (0.039)"
"23";"131_C1";100;0,01;0,05;"5e-04";"0.2156 (0.0816)";"0.4467 (0.1057)";"0.7364 (0.0776)";"0.9045 (0.0362)"
"24";"131_C1";125;0,01;0,05;"5e-04";"0.2225 (0.0733)";"0.5006 (0.0881)";"0.7844 (0.0554)";"0.903 (0.0341)"
"25";"131_C1";150;0,01;0,05;"5e-04";"0.2395 (0.0756)";"0.5526 (0.0922)";"0.7916 (0.0726)";"0.9139 (0.0345)"
"26";"131_C1";175;0,01;0,05;"5e-04";"0.2576 (0.0895)";"0.563 (0.0932)";"0.7894 (0.0793)";"0.9108 (0.0284)"
"27";"131_C1";200;0,01;0,05;"5e-04";"0.2624 (0.0931)";"0.5828 (0.1124)";"0.8012 (0.072)";"0.9131 (0.0332)"
"28";"131_C2";1;0,01;0,05;"5e-04";"0.067 (0.01)";"0.0637 (0.0112)";"0.0661 (0.0108)";"0.0648 (0.0129)"
"29";"131_C2";25;0,01;0,05;"5e-04";"0.3149 (0.0897)";"0.3728 (0.0809)";"0.4718 (0.0812)";"0.6479 (0.0524)"
"30";"131_C2";50;0,01;0,05;"5e-04";"0.4476 (0.0836)";"0.613 (0.0935)";"0.8022 (0.0603)";"0.9306 (0.0259)"
"31";"131_C2";75;0,01;0,05;"5e-04";"0.5499 (0.0908)";"0.7412 (0.0832)";"0.9231 (0.0338)";"0.9784 (0.0101)"
"32";"131_C2";100;0,01;0,05;"5e-04";"0.6054 (0.0857)";"0.8259 (0.0616)";"0.963 (0.0167)";"0.9888 (0.0047)"
"33";"131_C2";125;0,01;0,05;"5e-04";"0.6621 (0.0898)";"0.8749 (0.0463)";"0.9737 (0.0133)";"0.9891 (0.004)"
"34";"131_C2";150;0,01;0,05;"5e-04";"0.6903 (0.0688)";"0.9012 (0.0291)";"0.9783 (0.0094)";"0.9891 (0.0054)"
"35";"131_C2";175;0,01;0,05;"5e-04";"0.7085 (0.0756)";"0.9167 (0.0298)";"0.979 (0.0073)";"0.9888 (0.0046)"
"36";"131_C2";200;0,01;0,05;"5e-04";"0.7287 (0.0819)";"0.9236 (0.0277)";"0.9798 (0.0092)";"0.9886 (0.0051)"
